date,close,volume,open,high,low
2013-03-08,77.18,7257183,77.01,77.20,76.46
2013-03-11,77.35,6621712,77.02,77.39,76.90
2013-03-12,77.17,7016698,77.19,77.45,77.00
2013-03-13,76.80,6339460,77.07,77.10,76.52
2013-03-14,77.39,8083257,76.87,77.475,76.83
2013-03-15,76.34,15238770,77.08,77.38,76.34
2013-03-18,76.16,7081774,75.90,76.55,75.80
2013-03-19,77.11,9295808,76.14,77.18,76.11
2013-03-20,77.58,8615706,77.29,77.82,77.271
2013-03-21,77.21,6320651,77.42,77.67,77.14
2013-03-22,77.27,5868393,77.18,77.45,77.005
2013-03-25,76.68,6843553,77.27,77.62,76.44
2013-03-26,77.40,5387106,77.02,77.50,76.891
2013-03-27,77.06,5274497,76.98,77.105,76.57
2013-03-28,77.06,8017630,76.95,77.16,76.66
2013-04-01,77.70,7268049,76.85,77.85,76.73
2013-04-02,78.96,13374300,77.84,79.15,77.65
2013-04-03,78.12,8426449,78.88,79.08,77.84
2013-04-04,78.54,8770319,78.32,78.98,78.25
2013-04-05,78.23,6565480,77.88,78.395,77.83
2013-04-08,78.79,6214027,78.12,78.88,77.88
2013-04-09,78.26,6760554,78.82,78.89,78.07
2013-04-10,79.24,7947900,78.49,79.49,78.43
2013-04-11,79.67,11832450,79.37,80.13,79.33
2013-04-12,80.08,9383865,79.51,80.66,79.47
2013-04-15,79.65,10877110,79.79,80.84,79.60
2013-04-16,80.10,9366412,79.83,80.21,79.37
2013-04-17,79.06,10963900,79.98,80.14,78.85
2013-04-18,79.87,10895840,79.09,80.1799,79.06
2013-04-19,81.43,13147600,80.37,81.70,80.20
2013-04-22,81.40,7530605,81.31,81.59,81.12
2013-04-23,82.54,12678340,81.46,82.54,80.51
2013-04-24,77.12,25685560,79.49,79.61,76.93
2013-04-25,76.58,14703010,77.67,77.67,76.35
2013-04-26,77.10,8769151,76.72,77.22,76.58
2013-04-29,77.68,6622787,77.56,77.98,77.23
2013-04-30,76.77,9655584,77.86,77.89,76.60
2013-05-01,76.99,8388710,76.83,77.77,76.72
2013-05-02,77.76,7288002,77.39,78.28,77.14
2013-05-03,78.19,7884967,78.10,78.46,77.66
2013-05-06,77.75,7204194,78.03,78.40,77.52
2013-05-07,77.94,9574092,77.98,78.20,77.27
2013-05-08,78.44,12067290,77.90,78.51,77.23
2013-05-09,78.21,7188800,78.57,78.89,78.02
2013-05-10,78.76,6163414,78.41,78.79,78.23
2013-05-13,78.59,5420181,78.51,78.97,78.42
2013-05-14,79.47,6871108,78.93,79.47,78.74
2013-05-15,80.68,11153850,79.47,81.00,79.47
2013-05-16,80.20,8065580,80.49,80.735,79.89
2013-05-17,80.02,8550094,79.91,80.18,79.305
2013-05-20,79.09,7307256,79.98,79.98,78.78
2013-05-21,78.80,7377650,79.17,79.22,78.22
2013-05-22,78.82,8655139,78.84,79.68,78.62
2013-05-23,78.70,7109033,78.27,79.11,78.23
2013-05-24,81.88,25580540,81.88,82.35,81.44
2013-05-28,80.86,14373220,82.05,82.13,80.77
2013-05-29,78.90,9992413,80.16,80.25,78.87
2013-05-30,79.09,14761290,78.90,79.88,78.90
2013-05-31,76.76,16461050,78.79,78.81,76.7525
2013-06-03,77.66,11722190,76.87,77.70,76.12
2013-06-04,77.37,11379260,77.71,78.47,76.75
2013-06-05,76.66,8826570,77.08,77.215,76.63
2013-06-06,76.82,11100000,76.56,76.97,75.83
2013-06-07,77.75,7839474,77.44,78.28,77.27
2013-06-10,78.07,8967455,77.69,78.22,77.26
2013-06-11,78.12,6781138,77.68,78.75,77.45
2013-06-12,77.60,7834172,78.64,78.89,77.48
2013-06-13,78.43,6857075,77.54,78.69,77.14
2013-06-14,78.03,6825874,78.49,78.79,77.67
2013-06-17,78.96,7363260,78.26,79.47,78.25
2013-06-18,79.04,6050480,78.95,79.23,78.70
2013-06-19,77.61,7424500,79.05,79.47,77.59
2013-06-20,75.25,15557190,77.21,77.33,75.10
2013-06-21,77.43,20058300,76.25,77.53,75.69
2013-06-24,76.58,12563450,76.95,77.43,75.63
2013-06-25,76.69,7911690,77.10,77.24,76.29
2013-06-26,77.40,7329239,77.23,77.59,77.02
2013-06-27,77.67,14731880,77.96,78.38,77.57
2013-06-28,76.99,9868254,77.62,77.94,76.90
2013-07-01,78.02,6699595,77.02,78.45,77.00
2013-07-02,78.44,10228900,77.95,78.61,77.71
2013-07-03,78.57,5347846,78.28,78.75,77.4301
2013-07-05,78.34,7265770,78.89,79.02,77.78
2013-07-08,78.76,11153690,78.54,79.0799,78.50
2013-07-09,79.57,11458300,79.07,79.90,79.07
2013-07-10,79.80,6906045,79.65,80.10,79.30
2013-07-11,80.77,9185540,80.55,80.99,80.29
2013-07-12,81.55,12587840,80.67,81.64,80.67
2013-07-15,81.51,10025180,81.37,81.59,80.845
2013-07-16,80.97,11208510,81.32,81.37,80.91
2013-07-17,80.09,7645591,80.49,80.85,80.01
2013-07-18,80.30,5525915,80.03,80.75,80.03
2013-07-19,81.37,7863205,80.36,81.41,80.05
2013-07-22,81.22,4813662,81.23,81.45,80.90
2013-07-23,80.95,4311045,81.22,81.401,80.78
2013-07-24,80.27,5607942,80.95,81.00,80.13
2013-07-25,80.41,6239836,80.01,80.57,79.84
2013-07-26,80.39,6543856,80.02,80.42,79.39
2013-07-29,80.09,4389416,80.10,80.45,80.05
2013-07-30,80.44,6434115,80.49,80.90,80.155
2013-07-31,80.30,11856950,80.44,81.41,80.16
2013-08-01,81.64,10724390,81.62,82.23,81.21
2013-08-02,81.29,6588772,81.42,81.50,80.5615
2013-08-05,81.40,4662795,81.05,81.65,80.96
2013-08-06,81.74,6212547,81.30,81.97,81.30
2013-08-07,81.96,5828509,81.41,82.21,81.38
2013-08-08,82.17,6207933,82.11,82.40,81.51
2013-08-09,81.64,6127210,81.92,82.06,81.19
2013-08-12,81.62,4922205,81.23,81.73,81.04
2013-08-13,81.66,4936360,81.78,81.99,81.33
2013-08-14,81.25,5167522,81.67,81.78,81.19
2013-08-15,80.48,7415297,80.96,81.08,80.165
2013-08-16,79.90,9451584,80.27,80.485,79.06
2013-08-19,79.59,5947927,79.64,80.09,79.42
2013-08-20,79.53,5172391,79.72,80.10,79.28
2013-08-21,79.38,7390855,79.50,80.12,79.0453
2013-08-22,79.77,6274357,79.30,80.05,78.87
2013-08-23,80.01,5228946,79.87,80.07,79.59
2013-08-26,78.54,6384214,79.92,79.98,78.53
2013-08-27,77.97,7052354,77.87,78.36,77.33
2013-08-28,76.85,9008484,77.86,77.86,76.85
2013-08-29,77.31,5960884,76.76,77.84,76.42
2013-08-30,77.89,9039085,77.53,78.07,73.61
2013-09-03,77.75,6743818,78.27,78.42,77.44
2013-09-04,77.49,6031264,77.52,77.75,77.12
2013-09-05,77.14,7163200,77.58,77.63,76.831
2013-09-06,77.15,6977354,77.12,77.61,76.40
2013-09-09,78.16,6089257,77.37,78.20,77.37
2013-09-10,77.95,6650203,78.50,78.64,77.7825
2013-09-11,78.27,7049758,77.26,78.27,77.25
2013-09-12,78.26,6944863,78.40,78.80,78.17
2013-09-13,79.05,4894112,78.44,79.18,78.41
2013-09-16,80.16,7557605,79.72,80.21,79.71
2013-09-17,79.83,5457730,79.96,80.25,79.64
2013-09-18,80.295,10372100,79.06,80.48,78.53
2013-09-19,80.12,8145878,80.50,80.53,79.785
2013-09-20,79.39,11146120,80.09,80.18,79.39
2013-09-23,79.28,6304870,79.20,79.58,78.67
2013-09-24,78.62,7494576,78.965,79.48,78.59
2013-09-25,77.72,7568668,78.84,79.00,77.71
2013-09-26,78.05,4632610,77.91,78.14,77.62
2013-09-27,77.21,6551336,77.75,77.75,76.77
2013-09-30,75.59,15028270,76.80,77.16,75.35
2013-10-01,76.16,8076092,75.52,76.50,75.44
2013-10-02,75.93,8522945,75.91,76.14,75.42
2013-10-03,75.84,9251589,75.89,76.14,75.20
2013-10-04,76.02,4984717,75.98,76.12,75.5145
2013-10-07,75.65,6373266,75.66,76.10,75.48
2013-10-08,76.33,9656617,76.39,76.995,76.05
2013-10-09,76.95,8470729,76.58,77.16,76.10
2013-10-10,77.89,10121910,77.41,77.92,77.15
2013-10-11,78.48,6075351,78.00,78.49,77.805
2013-10-14,78.74,6326138,78.01,78.795,77.93
2013-10-15,77.60,11192530,78.38,78.61,77.44
2013-10-16,78.34,6538524,77.35,78.49,77.26
2013-10-17,79.42,8671299,78.19,79.47,77.98
2013-10-18,79.41,7940526,79.39,79.57,78.78
2013-10-21,78.97,6456245,79.27,79.319,78.44
2013-10-22,80.38,9558428,79.31,80.615,79.275
2013-10-23,80.91,8960693,80.34,81.245,80.25
2013-10-24,80.61,7412149,80.77,80.95,80.25
2013-10-25,80.00,9606454,80.55,80.72,79.51
2013-10-28,81.30,9792814,80.11,81.86,79.95
2013-10-29,82.46,9482890,81.46,82.62,81.10
2013-10-30,81.52,6490020,82.53,82.56,81.23
2013-10-31,80.75,7786770,81.20,81.60,80.72
2013-11-01,81.15,6802298,80.68,81.335,80.64
2013-11-04,81.33,5460057,81.46,81.73,80.91
2013-11-05,81.43,4949295,81.13,81.74,80.85
2013-11-06,82.81,9518391,81.64,83.10,81.33
2013-11-07,82.32,10087690,82.91,83.10,82.11
2013-11-08,82.51,9768364,82.28,82.57,81.67
2013-11-11,82.26,6173611,82.35,82.68,82.02
2013-11-12,82.80,8201719,82.23,83.04,82.12
2013-11-13,83.50,7574885,82.57,83.50,82.46
2013-11-14,84.32,7580546,83.43,84.46,83.425
2013-11-15,84.84,9664745,84.17,84.92,84.16
2013-11-18,84.57,8507338,84.79,84.94,84.18
2013-11-19,84.34,7924211,84.31,84.59,84.21
2013-11-20,84.69,7680871,84.31,84.98,84.24
2013-11-21,84.67,7287711,84.84,84.89,84.51
2013-11-22,84.95,7436183,84.53,85.00,84.23
2013-11-25,85.41,9659768,84.96,85.82,84.85
2013-11-26,84.64,7111628,85.20,85.76,84.64
2013-11-27,84.28,4905048,84.88,84.89,84.02
2013-11-29,84.22,4954483,84.77,85.21,84.15
2013-12-02,83.34,7497468,84.04,84.15,83.10
2013-12-03,83.83,7533242,83.30,84.00,83.23
2013-12-04,83.35,6790175,83.38,83.49,82.59
2013-12-05,82.69,8186604,83.39,83.45,82.30
2013-12-06,84.52,7189396,83.23,84.53,83.17
2013-12-09,84.78,7395260,84.48,84.94,84.34
2013-12-10,83.65,7373347,84.41,84.43,83.43
2013-12-11,84.02,9787845,83.74,84.50,83.61
2013-12-12,82.30,10157840,83.82,83.87,81.93
2013-12-13,82.37,7441610,82.32,82.46,81.56
2013-12-16,81.69,8838828,82.72,83.07,81.60
2013-12-17,80.91,11404100,81.79,81.85,80.695
2013-12-18,82.38,12035330,81.21,82.42,80.48
2013-12-19,81.90,6442641,81.98,82.29,81.51
2013-12-20,81.84,13206080,81.98,82.54,81.82
2013-12-23,81.31,8653642,82.14,82.14,81.0099
2013-12-24,81.31,2899142,81.33,81.61,81.25
2013-12-26,81.76,5347042,81.49,81.89,81.29
2013-12-27,82.01,4005988,82.09,82.48,81.86
2013-12-30,82.00,4134042,82.00,82.05,81.57
2013-12-31,81.41,5765343,81.83,82.00,81.09
2014-01-02,80.54,6981721,81.33,81.36,80.32
2014-01-03,80.45,6925572,80.76,80.85,80.185
2014-01-06,80.64,7208223,80.61,80.98,80.30
2014-01-07,81.42,7158171,80.71,81.58,80.62
2014-01-08,80.24,13450960,80.97,81.15,80.05
2014-01-09,80.42,10833860,80.54,80.80,80.03
2014-01-10,80.30,8448328,80.59,80.89,80.20
2014-01-13,80.01,9360768,80.01,80.50,79.69
2014-01-14,80.87,8737136,80.06,80.92,80.02
2014-01-15,80.79,8221868,80.70,81.175,80.25
2014-01-16,80.56,11673310,80.65,80.83,80.26
2014-01-17,79.88,13629810,80.42,80.64,79.80
2014-01-21,80.18,13215480,80.59,80.72,79.54
2014-01-22,79.23,8455602,79.57,79.88,79.05
2014-01-23,78.24,12667720,78.71,78.97,78.12
2014-01-24,79.18,20176100,79.33,81.70,79.05
2014-01-27,78.47,10395370,79.24,79.295,78.42
2014-01-28,79.11,10060790,78.67,79.52,78.43
2014-01-29,77.64,13442930,78.80,78.80,77.38
2014-01-30,76.87,9450544,78.05,78.05,76.77
2014-01-31,76.62,12988760,76.03,77.191,75.26
2014-02-03,75.70,14292750,76.69,76.76,75.60
2014-02-04,76.09,12055370,76.00,76.39,75.40
2014-02-05,76.45,9734108,75.94,76.80,75.67
2014-02-06,76.90,7819691,76.53,76.99,76.48
2014-02-07,77.31,7301369,76.99,77.39,76.75
2014-02-10,78.03,8959745,77.43,78.09,77.19
2014-02-11,78.84,10500820,78.10,79.11,77.644
2014-02-12,77.49,11019660,78.13,78.53,77.06
2014-02-13,77.80,7420620,77.09,77.92,77.00
2014-02-14,79.40,10803130,77.69,79.75,77.25
2014-02-18,77.97,15750720,79.48,79.63,77.56
2014-02-19,78.14,8740018,77.64,78.958,77.55
2014-02-20,77.92,8275210,77.96,78.44,77.50
2014-02-21,77.97,8089241,78.05,78.89,77.91
2014-02-24,77.86,7838696,78.03,78.7699,77.61
2014-02-25,78.12,8177466,77.73,78.31,77.40
2014-02-26,77.86,7764656,78.23,78.77,77.82
2014-02-27,78.19,6549833,77.77,78.23,77.555
2014-02-28,78.66,8489637,78.24,78.91,78.0055
2014-03-03,77.48,8598592,78.26,78.4084,77.35
2014-03-04,78.45,8306923,78.09,78.72,77.895
2014-03-05,77.82,8542262,78.32,78.41,77.55
2014-03-06,78.06,6475573,78.04,78.445,77.84
2014-03-07,78.38,5865398,78.41,78.595,78.11
2014-03-10,78.53,5229867,78.29,78.57,78.20
2014-03-11,78.95,6595759,78.59,79.39,78.57
2014-03-12,79.24,7469348,78.66,79.45,78.62
2014-03-13,79.19,9670788,79.32,79.76,79.19
2014-03-14,78.98,14837740,79.10,79.23,78.67
2014-03-17,79.84,8452119,79.02,79.95,79.02
2014-03-18,79.77,7702150,79.84,80.08,79.5099
2014-03-19,78.78,8599419,79.68,79.91,78.51
2014-03-20,78.32,8649602,78.70,78.93,78.1549
2014-03-21,77.88,21244400,79.04,79.75,77.88
2014-03-24,79.30,11201290,78.495,79.83,78.47
2014-03-25,79.81,8869821,79.52,79.99,79.44
2014-03-26,79.50,8269811,80.03,80.18,79.33
2014-03-27,79.65,8106449,79.55,80.43,79.38
2014-03-28,79.76,6374994,79.94,80.32,79.52
2014-03-31,80.60,8492787,80.00,80.83,79.55
2014-04-01,80.34,8222327,80.60,80.84,80.21
2014-04-02,80.13,6735931,80.19,80.33,79.80
2014-04-03,80.10,5645980,80.28,80.58,79.93
2014-04-04,79.77,8649567,80.47,80.5561,79.75
2014-04-07,80.49,13216300,80.02,81.07,79.93
2014-04-08,81.35,11880730,80.51,81.38,80.02
2014-04-09,81.49,11550710,81.80,82.24,81.32
2014-04-10,81.09,12194300,81.58,82.13,80.89
2014-04-11,80.76,11831390,80.98,81.66,80.50
2014-04-14,80.81,7105587,81.00,81.20,80.51
2014-04-15,80.84,9000827,80.79,81.09,80.52
2014-04-16,81.65,8300706,81.28,81.88,81.03
2014-04-17,81.76,8374663,81.47,81.89,81.34
2014-04-21,81.56,6390941,81.81,81.81,81.29
2014-04-22,81.25,9258917,81.54,81.67,81.15
2014-04-23,80.36,9577465,80.72,80.72,79.38
2014-04-24,81.15,9523197,80.26,81.38,80.01
2014-04-25,81.41,7497404,81.20,81.58,80.97
2014-04-28,82.94,11575680,81.54,82.98,81.51
